prompt,output
How do I reset my password in the e-commerce 'xx' mobile app?,"1. Open the app
2. Go to the login page
3. Tap on 'Forgot Password'
4. Enter your registered email
5. Tap 'Submit'
6. Check your email and reset password"
How can I delete my account in the 'xx' mobile app?,"1. Open the app
2. Navigate to 'Settings'
3. Select 'Account'
4. Tap 'Delete Account'
5. Enter your PIN to confirm"
How do I change my phone number in the 'xx' app?,"1. Open the app
2. Go to 'Profile'
3. Tap on 'Edit Phone Number'
4. Enter the new number
5. Verify with OTP"
How can I update my delivery address in the app?,"1. Open the app
2. Navigate to 'Settings'
3. Tap on 'Delivery Address'
4. Add or edit the address
5. Save changes"
How do I enable dark mode in the 'xx' mobile app?,"1. Open the app
2. Go to 'Settings'
3. Tap 'Appearance'
4. Select 'Dark Mode'"
How do I check my order history in the 'xx' app?,"1. Launch the app
2. Tap on 'Orders'
3. View list of past orders"
How can I contact customer support from the app?,"1. Open the app
2. Go to 'Help Center'
3. Select 'Contact Support'
4. Choose chat or email option"
How do I apply a promo code during checkout?,"1. Add items to cart
2. Proceed to checkout
3. Enter promo code in the provided field
4. Tap 'Apply'
5. Complete payment"
How do I enable push notifications in the app?,"1. Open the app
2. Navigate to 'Settings'
3. Tap 'Notifications'
4. Enable push notifications"
How can I change the language of the app?,"1. Open the app
2. Go to 'Settings'
3. Tap 'Language'
4. Select preferred language"
